"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"CONN_02";"1X02";"J2, J3, J4, J5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"13";"";"TESTPOINT";"1X01";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13";"";"";
"2";" ";"RESISTOR0603";"0603";"R14, R15";"Generic Resistor Package";"";
"3";" ";"RESISTOR0805";"0805";"R3, R4, R30";"Generic Resistor Package";"";
"1";" ";"RESISTOR1206";"1206";"R29";"Generic Resistor Package";"";
"2";".01uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"C7, C8";"4.7µF ceramic capacitors";"";
"11";".1uF";"0.1UF-0603-25V-5%";"0603";"C19, C20, C23, C34, C35, C36, C37, C38, C39, C40, C41";"0.1µF ceramic capacitors";"";
"2";"0";"RESISTOR0603";"0603";"R26, R27";"Generic Resistor Package";"";
"1";"0";"RESISTOR0805";"0805";"R2";"Generic Resistor Package";"";
"2";"0.1  .1%";"RESISTOR1206";"1206";"R6, R11";"Generic Resistor Package";"";
"14";"0.1uF";"0.1UF-0603-25V-5%";"0603";"C2, C3, C11, C12, C13, C14, C15, C17, C18, C21, C22, C30, C31, C32";"0.1µF ceramic capacitors";"";
"5";"100";"RESISTOR0603";"0603";"R12, R13, R17, R18, R24";"Generic Resistor Package";"";
"3";"100k";"RESISTOR0603";"0603";"R8, R9, R23";"Generic Resistor Package";"";
"1";"100pF";"0.1UF-0603-25V-5%";"0603";"C1";"0.1µF ceramic capacitors";"";
"5";"10k";"RESISTOR1206";"1206";"R32, R33, R34, R35, R36";"Generic Resistor Package";"";
"1";"10nF";"0.1UF-0603-25V-5%";"0603";"C27";"0.1µF ceramic capacitors";"";
"1";"10p";"0.1UF-0603-25V-5%";"0603";"C29";"0.1µF ceramic capacitors";"";
"2";"10uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"C9, C10";"4.7µF ceramic capacitors";"";
"1";"1M";"RESISTOR0805";"0805";"R25";"Generic Resistor Package";"";
"2";"1uF";"0.1UF-0603-25V-5%";"0603";"C28, C33";"0.1µF ceramic capacitors";"";
"1";"1uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"C5";"4.7µF ceramic capacitors";"";
"1";"1uF";"4.7UF0603";"0603";"C16";"4.7µF ceramic capacitors";"";
"1";"200k";"RESISTOR0603";"0603";"R20";"Generic Resistor Package";"";
"1";"240k";"RESISTOR0603";"0603";"R22";"Generic Resistor Package";"";
"1";"3.3K";"RESISTOR0603";"0603";"R16";"Generic Resistor Package";"";
"1";"3.3k";"RESISTOR0603";"0603";"R19";"Generic Resistor Package";"";
"2";"316k";"RESISTOR0603";"0603";"R7, R10";"Generic Resistor Package";"";
"3";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"C4, C6, C24";"4.7µF ceramic capacitors";"";
"1";"4.7uH";"WE-HCI";"WE-HCI";"L2";"";"";
"2";"47uF - 10V";"22UF-1210-16V-20%";"1210";"C25, C26";"22µF ceramic capacitors";"";
"6";"49.99";"RESISTOR0805";"0805";"R5, R28, R31, R37, R38, R39";"Generic Resistor Package";"";
"1";"60.4k";"RESISTOR0603";"0603";"R21";"Generic Resistor Package";"";
"1";"AD8671";"AD8671";"SO8";"U$3";"";"";
"2";"CR2032";"CR2032";"CR2032";"U$20, U$21";"";"";
"1";"DNP";"RESISTOR0805";"0805";"R1";"Generic Resistor Package";"";
"1";"LMV324";"LMV324";"SO14";"U2";"IC LMV324 Quad Op Amp";"";
"2";"LT6105";"LT6105";"MSOP8";"U$4, U$30";"";"";
"1";"LT6654-3.3";"LT6654-3.3";"SOT23-6L";"U$33";"";"";
"1";"LT8610A";"LT8610A";"MSOP16";"U$12";"";"";
"2";"LTC2470";"LTC2470";"MSOP12";"U$5, U$26";"";"";
"1";"LTC3260EMSEPBF";"LTC3260EMSEPBF";"MSOP-16_MSE";"U1";"";"";
"4";"MOUNT-PAD-ROUND3.6";"MOUNT-PAD-ROUND3.6";"3,6-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";
"2";"MT25QL128ABA1ESE";"MT25QL128ABA1ESE";"SO-08M";"U$16, U$17";"";"";
"1";"PHOTODIODESYMBOLPD_CONN";"PHOTODIODESYMBOLPD_CONN";"1X02";"U$1";"";"";
"1";"POWER_JACK";"POWER_JACK";"POWER_JACK_PTH";"J1";"Power Jack Connector";"";
"1";"TEENSY4.0";"TEENSY4.0";"TEENSY4.0";"U$2";"";"";
"1";"THERMISTOR";"THERMISTOR";"M0805";"U$19";"";"";
